"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_mediata","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud_WGS84","Latitud_WGS84"
"2023S006160    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",201400,"Picasso","0008 0008","Dimecres","2023",10,"Octubre","18","13","Matí","Canvi de carril sense precaució","431740.53 ","4582375.11","2.182437621","41.388163173"
"2023S004665    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46205,"Bòria","0019 0019","Dimarts","2023",8,"Agost","1","13","Matí","Manca d'atenció a la conducció","431431.65 ","4581975.52","2.178788783","41.384537892"
"2023S006624    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",342900,"Trafalgar","0014 0024","Dimecres","2023",11,"Novembre","8","16","Tarda","Manca d'atenció a la conducció","431169.92 ","4582480.3 ","2.175601383","41.389061937"
"2023S005246    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",271100,"Pujades","0009 0009","Dilluns","2023",9,"Setembre","4","12","Matí","Manca d'atenció a la conducció","431885.55 ","4582551.4 ","2.184152173","41.38976327"
"2023S005294    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",359109,"Lluís Companys","0002 0002","Dijous","2023",9,"Setembre","7","08","Matí","No determinada","431791.37 ","4582425.96","2.18303992","41.38862548"
"2023S002435    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",359109,"Lluís Companys","0012 0012","Dimecres","2023",4,"Abril","26","08","Matí","Desobeir altres senyals","431766.75 ","4582586.39","2.182727389","41.39006834"
"2023S004303    ",2,"Eixample",10,"Sant Antoni",169409,"Corts Catalanes","0380 0380","Diumenge","2023",7,"Juliol","16","17","Tarda","Manca d'atenció a la conducció","429046.52 ","4581010.9 ","2.150378258","41.375642941"
"2023S006958    ",2,"Eixample",10,"Sant Antoni",169409,"Corts Catalanes","0394 0394","Dijous","2023",11,"Novembre","23","16","Tarda","Altres","429126.11 ","4581088.8 ","2.151320822","41.376351579"
"2023S006409    ",2,"Eixample",10,"Sant Antoni",54509,"Calàbria","0098B0098B","Diumenge","2023",10,"Octubre","29","16","Tarda","No determinada","429450.52 ","4581444.1 ","2.155158537","41.379580174"
"2023S007205    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",113801,"Espaseria","0015 0015","Diumenge","2023",12,"Desembre","3","17","Tarda","No determinada","431754.37 ","4581822.21","2.182665459","41.383184527"
"2023S000826    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",54509,"Calàbria","0205 0205","Divendres","2023",2,"Febrer","10","18","Tarda","Desobeir semàfor","428880.88 ","4582025.85","2.148278487","41.384769621"
"2023S001670    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",100800,"Diputació","0063 0063","Dijous","2023",3,"Març","23","09","Matí","Gir indegut o sense precaució","429347.93 ","4581549.1 ","2.15391952","41.380516868"
"2023S001310    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",100800,"Diputació","0063 0063","Dilluns","2023",3,"Març","6","12","Matí","Manca d'atenció a la conducció","429385.75 ","4581571.52","2.154369163","41.38072212"
"2023S001763    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",100800,"Diputació","0065 0065","Dilluns","2023",3,"Març","27","19","Tarda","Desconegut","429362.86 ","4581579.84","2.15409447","41.380795045"
"2023S000979    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",132952,"Francesc Cambó","0017 0017","Divendres","2023",2,"Febrer","17","05","Nit","Altres","431340.31 ","4582164   ","2.17767508","41.386227684"
"2023S004321    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",362001,"Vilamarí","0134B0134B","Dilluns","2023",7,"Juliol","17","15","Tarda","Desobeir semàfor","428666.7  ","4581674.2 ","2.14575855","41.38158346"
"2023S001563    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",287201,"Roma","0030 0030","Dissabte","2023",3,"Març","18","10","Matí","No respectar distàncies","428666.7  ","4581674.2 ","2.14575855","41.38158346"
"2023S002003    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",287201,"Roma","0030 0030","Dissabte","2023",4,"Abril","8","21","Tarda","Desobeir semàfor","428666.7  ","4581674.2 ","2.14575855","41.38158346"
"2023S005648    ",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",268003,"Provença","0211 0211","Dilluns","2023",9,"Setembre","25","16","Tarda","Manca d'atenció a la conducció","429743.72 ","4582869.41","2.158499241","41.392443146"
"2023S002101    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",110803,"Entença","0127 0127","Dijous","2023",4,"Abril","13","12","Matí","Desobeir semàfor","428861.39 ","4581681.48","2.148085861","41.381666275"
"2023S006137    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",177101,"Laietana","0038 0038","Dimarts","2023",10,"Octubre","17","15","Tarda","Desconegut","431223.53 ","4582103.74","2.176285322","41.385674958"
"2023S003413    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",18505,"Aragó","0059 0059","Dijous","2023",6,"Juny","8","08","Matí","Manca d'atenció a la conducció","428970.85 ","4581553.16","2.14940987","41.380520217"
"2023S004389    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",169409,"Corts Catalanes","0445 0445","Dijous","2023",7,"Juliol","20","12","Matí","Canvi de carril sense precaució","429355.61 ","4581351.42","2.154034414","41.378737103"
"2023S004162    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",361406,"Viladomat","0255 0255","Dilluns","2023",7,"Juliol","10","07","Matí","Gir indegut o sense precaució","428882.97 ","4582216.76","2.148281059","41.386489266"
"2023S000319    ",2,"Eixample",9,"la Nova Esquerra de l'Eixample",350308,"València","0084 0086","Dimarts","2023",1,"Gener","17","09","Matí","No determinada","429019.1  ","4581772.61","2.14996113","41.382500989"
