"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal ","Descripcio_dia_setmana","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_causa_mediata","Coordenada_UTM_X_ED50","Coordenada_UTM_Y_ED50","Longitud_WGS84","Latitud_WGS84"
"2023S000699    ",-1,"Desconegut",-1,"Desconegut",-1,"Rovira (ascendent)                                ","0         ","Dissabte","2023",2,"Febrer","4","16","Tarda","Manca d'atenció a la conducció","430443.36 ","4585232   ","2.166595554","41.413783052"
"2023S005197    ",-1,"Desconegut",-1,"Desconegut",-1,"Estatut de Catalunya                              ","11        ","Divendres","2023",9,"Setembre","1","13","Matí","No respectar distàncies","429493.73 ","4587108.15","2.155015073","41.430598006"
"2023S007430    ",-1,"Desconegut",-1,"Desconegut",-1,"Rovira (ascendent)                                ","0         ","Divendres","2023",12,"Desembre","15","11","Matí","No respectar distàncies","430443.36 ","4585232   ","2.166595554","41.413783052"
"2023S000961    ",-1,"Desconegut",-1,"Desconegut",-1,"Amílcar                                           ","120       ","Dissabte","2023",1,"Gener","28","14","Tarda","No respectat pas de vianants","430955.45 ","4586335.1 ","2.172596357","41.423762477"
"2023S006486    ",-1,"Desconegut",-1,"Desconegut",-1,"Augusta / Hort de la Vila                         ",,"Dijous","2023",11,"Novembre","2","14","Tarda","Desobeir semàfor","426883.33 ","4583690.92","2.124188957","41.399587047"
"2023S002721    ",-1,"Desconegut",-1,"Desconegut",-1,"Lisboa                                            ","68-72     ","Dilluns","2023",5,"Maig","8","01","Nit","Manca d'atenció a la conducció","429524.58 ","4586879.7 ","2.155410913","41.428543158"
"2023S002864    ",-1,"Desconegut",-1,"Desconegut",-1,"Lisboa / Puríssima                                ",,"Dissabte","2023",5,"Maig","13","18","Tarda","Desobeir altres senyals","429178.93 ","4586631.06","2.151303679","41.426273341"
"2023S006867    ",-1,"Desconegut",-1,"Desconegut",-1,"Guipúscoa                                         ","163       ","Diumenge","2023",11,"Novembre","19","07","Matí","Manca d'atenció a la conducció","433835.76 ","4586344.61","2.207061705","41.424090651"
"2023S001077    ",-1,"Desconegut",-1,"Desconegut",-1,"Carrasco i Formiguera / Dolors Monserdà           ",,"Dimecres","2023",2,"Febrer","22","21","Tarda","Desobeir altres senyals","426738.14 ","4583956.28","2.122420131","41.401963806"
"2023S005671    ",-1,"Desconegut",-1,"Desconegut",-1,"A Zona Franca                                     ","93        ","Dimarts","2023",9,"Setembre","26","17","Tarda","Manca d'atenció a la conducció","428497.71 ","4577319.47","2.144251323","41.342346799"
"2023S004509    ",-1,"Desconegut",-1,"Desconegut",-1,"Dolors Monserdà / Carrasco i Formiguera           ",,"Dimarts","2023",7,"Juliol","25","20","Tarda","Desobeir altres senyals","426738.14 ","4583956.28","2.122420131","41.401963806"
"2023S000458    ",-1,"Desconegut",-1,"Desconegut",-1,"Favència                                          ","297-299   ","Dilluns","2023",1,"Gener","23","12","Matí","No respectar distàncies","431894.76 ","4588886.06","2.183548645","41.446818316"
"2023S000462    ",-1,"Desconegut",-1,"Desconegut",-1,"Ildefons Cerdà                                    ","3         ","Dilluns","2023",1,"Gener","23","23","Nit","Gir indegut o sense precaució","427786.74 ","4579747.41","2.135465365","41.364151013"
"2023S004984    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0187 0187","Dimarts","2023",8,"Agost","15","23","Nit","Gir indegut o sense precaució","432139.36 ","4585186.75","2.186892134","41.413520581"
"2023S003695    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",226400,"Las Navas de Tolosa","0293 0293","Dimarts","2023",6,"Juny","20","16","Tarda","Altres","432107.59 ","4585401.76","2.186487885","41.415454425"
"2023S003891    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",226400,"Las Navas de Tolosa","0295 0295","Dimecres","2023",6,"Juny","28","16","Tarda","Manca d'atenció a la conducció","432141.03 ","4585382.64","2.186890129","41.415285043"
"2023S005526    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161101,"Independència","0388 0392","Dimarts","2023",9,"Setembre","19","12","Matí","Desconegut","431336.21 ","4585087.98","2.177294241","41.412562734"
"2023S002728    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0020 0022","Dilluns","2023",5,"Maig","8","09","Matí","Altres","431653.81 ","4585294.29","2.18107072","41.41444799"
"2023S000172    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",194406,"Maragall","0052 0054","Dimarts","2023",1,"Gener","10","17","Tarda","Desconegut","431603.55 ","4585443.43","2.180452515","41.415786967"
"2023S000944    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",297001,"Sant Antoni Maria Claret","0356 0356","Dimecres","2023",2,"Febrer","15","20","Tarda","Altres","431646.49 ","4585469.73","2.180963306","41.416027499"
"2023S002482    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161407,"Indústria","0224 0224","Dijous","2023",4,"Abril","27","20","Tarda","Desobeir altres senyals","431372.38 ","4585035.95","2.177732887","41.412097208"
"2023S003507    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",90502,"Còrsega","0691B0691B","Dilluns","2023",6,"Juny","12","17","Tarda","Avançament defectuós/improcedent","431555.77 ","4585028.44","2.179927818","41.412045215"
"2023S000417    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161101,"Independència","0303 0303","Dissabte","2023",1,"Gener","21","16","Tarda","Desobeir semàfor","431748.64 ","4584647.26","2.182278336","41.408628456"
"2023S007343    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",191204,"Mallorca","0518 0518","Dilluns","2023",12,"Desembre","11","22","Nit","Desobeir semàfor","431651.12 ","4584550.2 ","2.181122636","41.407745976"
"2023S002936    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",350308,"València","0556 0556","Dimecres","2023",5,"Maig","17","17","Tarda","Avançament defectuós/improcedent","431783.3  ","4584478.23","2.182712052","41.407108999"
"2023S001145    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",161101,"Independència","0267 0267","Diumenge","2023",2,"Febrer","26","03","Nit","Manca d'atenció a la conducció","431934.16 ","4584454.66","2.184519459","41.406909506"
"2023S001076    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0117B0117B","Dimecres","2023",2,"Febrer","22","19","Tarda","Desconegut","432131.07 ","4584631.66","2.186855248","41.408520352"
"2023S000133    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0117B0117B","Diumenge","2023",1,"Gener","8","18","Tarda","Canvi de carril sense precaució","432131.07 ","4584631.66","2.186855248","41.408520352"
"2023S004611    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",286300,"Rogent","0001 0001","Dissabte","2023",7,"Juliol","29","13","Matí","Desobeir altres senyals","432131.07 ","4584631.66","2.186855248","41.408520352"
"2023S002351    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",350308,"València","0589 0589","Diumenge","2023",4,"Abril","23","13","Matí","Altres","431988.96 ","4584692.18","2.185148327","41.409053419"
"2023S002277    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",18505,"Aragó","0607 0607","Dijous","2023",4,"Abril","20","19","Tarda","Desobeir semàfor","432131.07 ","4584631.66","2.186855248","41.408520352"
"2023S007574    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",18505,"Aragó","0607 0607","Dimecres","2023",12,"Desembre","20","15","Tarda","No respectar distàncies","432087.83 ","4584617.84","2.186339504","41.408392225"
"2023S003917    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",156305,"Historiador Maians","0009 0009","Dijous","2023",6,"Juny","29","11","Matí","Desobeir semàfor","431778.94 ","4584960.81","2.182605456","41.411455078"
"2023S001057    ",10,"Sant Martí",65,"el Clot",273808,"Rafael Capdevila","0010 0010","Dimarts","2023",2,"Febrer","21","13","Matí","Desobeir altres senyals","432238.15 ","4584699.75","2.188128658","41.409142658"
"2023S007075    ",10,"Sant Martí",65,"el Clot",161101,"Independència","0265 0265","Dimarts","2023",11,"Novembre","28","16","Tarda","No determinada","431934.16 ","4584454.66","2.184519459","41.406909506"
"2023S004031    ",10,"Sant Martí",65,"el Clot",89004,"Consell de Cent","0621 0621","Dilluns","2023",7,"Juliol","3","19","Tarda","Gir indegut o sense precaució","432073.7  ","4584402.87","2.186194604","41.406454859"
"2023S002332    ",10,"Sant Martí",72,"Sant Martí de Provençals",169409,"Corts Catalanes","0963 0963","Dissabte","2023",4,"Abril","22","15","Tarda","Manca d'atenció a la conducció","432939.83 ","4584967.63","2.196493513","41.41161426"
"2023S001598    ",10,"Sant Martí",65,"el Clot",18505,"Aragó","0594 0594","Dilluns","2023",3,"Març","20","13","Matí","Gir indegut o sense precaució","432184.11 ","4584725.86","2.187479223","41.409373262"
"2023S001607    ",10,"Sant Martí",65,"el Clot",18505,"Aragó","0594 0594","Diumenge","2023",3,"Març","19","20","Tarda","Desobeir altres senyals","432184.11 ","4584725.86","2.187479223","41.409373262"
"2023S003221    ",10,"Sant Martí",65,"el Clot",209900,"Meridiana","0068 0078","Dimarts","2023",5,"Maig","30","11","Matí","Manca d'atenció a la conducció","432127.7  ","4584285.31","2.186853797","41.405400594"
"2023S000815    ",10,"Sant Martí",65,"el Clot",209900,"Meridiana","0068 0078","Divendres","2023",2,"Febrer","10","14","Tarda","Manca d'atenció a la conducció","432127.7  ","4584285.31","2.186853797","41.405400594"
"2023S004887    ",10,"Sant Martí",72,"Sant Martí de Provençals",30409,"Bac de Roda","0201 0201","Diumenge","2023",8,"Agost","13","16","Tarda","Gir indegut o sense precaució","432792.64 ","4585292.45","2.194696433","41.414527519"
"2023S001487    ",10,"Sant Martí",72,"Sant Martí de Provençals",30409,"Bac de Roda","0203 0211","Dimarts","2023",3,"Març","14","15","Tarda","Canvi de carril sense precaució","432757.88 ","4585350.78","2.194274059","41.415049971"
"2023S007146    ",10,"Sant Martí",65,"el Clot",161101,"Independència","0250 0250","Dijous","2023",11,"Novembre","30","17","Tarda","Canvi de carril sense precaució","431934.16 ","4584454.66","2.184519459","41.406909506"
"2023S001830    ",10,"Sant Martí",65,"el Clot",350308,"València","0671 0671","Dijous","2023",3,"Març","30","15","Tarda","Manca precaució incorporació circulació","432411.1  ","4585107.29","2.190152196","41.412827821"
"2023S002292    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0121 0121","Divendres","2023",4,"Abril","21","14","Tarda","No respectat pas de vianants","432108    ","4584685.07","2.186573258","41.40899945"
"2023S004260    ",10,"Sant Martí",65,"el Clot",209900,"Meridiana","0182 0182","Dijous","2023",7,"Juliol","13","21","Tarda","Altres","432163.59 ","4585096.22","2.187192186","41.412707251"
"2023S002346    ",10,"Sant Martí",65,"el Clot",113506,"Escultors Claperós","0087X0093X","Diumenge","2023",4,"Abril","23","08","Matí","No determinada","432460.1  ","4584873.93","2.190764506","41.410730137"
"2023S003371    ",10,"Sant Martí",65,"el Clot",209900,"Meridiana","0198 0198","Dimarts","2023",6,"Juny","6","19","Tarda","Manca d'atenció a la conducció","432140.24 ","4585237.32","2.186896987","41.413976124"
"2023S001762    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0155 0155","Dilluns","2023",3,"Març","27","17","Tarda","No respectar distàncies","432136.49 ","4585039.63","2.186874308","41.412195273"
"2023S000104    ",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",209900,"Meridiana","0155 0155","Divendres","2023",1,"Gener","6","19","Tarda","Canvi de carril sense precaució","432136.49 ","4585039.63","2.186874308","41.412195273"
"2023S003659    ",10,"Sant Martí",65,"el Clot",350308,"València","0640 0644","Dilluns","2023",6,"Juny","19","13","Matí","No respectar distàncies","432267.31 ","4584953.48","2.188449096","41.411430388"
"2023S002473    ",10,"Sant Martí",65,"el Clot",191204,"Mallorca","0622 0624","Dijous","2023",4,"Abril","27","15","Tarda","No respectar distàncies","432182.73 ","4585056.14","2.187425675","41.412347879"
"2023S000248    ",10,"Sant Martí",65,"el Clot",209900,"Meridiana","0204 0204","Divendres","2023",1,"Gener","13","20","Tarda","Manca d'atenció a la conducció","432167.38 ","4585295.01","2.187215229","41.414498012"
"2023S007604    ",10,"Sant Martí",65,"el Clot",115603,"Espronceda","0223 0223","Divendres","2023",12,"Desembre","22","11","Matí","Desobeir semàfor","432884.03 ","4585011.58","2.195821045","41.412005445"
"2023S003936    ",10,"Sant Martí",65,"el Clot",226400,"Las Navas de Tolosa","0289 0289","Divendres","2023",6,"Juny","30","00","Nit","Desobeir semàfor","432223.56 ","4585298.65","2.187886985","41.41453554"
"2023S006308    ",10,"Sant Martí",70,"el Besòs i el Maresme",701266,"Litoral (Llobregat)","000560000","Dimecres","2023",10,"Octubre","25","18","Tarda","Altres","435017.2  ","4584731.2 ","2.221372632","41.409655535"
"2023S002781    ",10,"Sant Martí",65,"el Clot",18505,"Aragó","0611 0611","Dimecres","2023",5,"Maig","10","12","Matí","Manca d'atenció a la conducció","432184.11 ","4584725.86","2.187479223","41.409373262"
"2023S003153    ",10,"Sant Martí",73,"la Verneda i la Pau",153205,"Guipúscoa","0178 0178","Dissabte","2023",5,"Maig","27","12","Matí","Altres","433983.96 ","4586430.89","2.208825686","41.42487995"
"2023S005836    ",10,"Sant Martí",65,"el Clot",18505,"Aragó","0637 0637","Dimarts","2023",10,"Octubre","3","17","Tarda","Avançament defectuós/improcedent","432310.15 ","4584848.92","2.188973334","41.410492258"
"2023S001627    ",10,"Sant Martí",65,"el Clot",81603,"Clot","0123 0127","Dimarts","2023",3,"Març","21","15","Tarda","Avançament defectuós/improcedent","432349.81 ","4584858.95","2.189446694","41.410585936"
"2023S000890    ",10,"Sant Martí",73,"la Verneda i la Pau",266405,"Prim","0192 0194","Dilluns","2023",2,"Febrer","13","18","Tarda","Desobeir semàfor","433653.97 ","4586136.52","2.204909198","41.422201441"
"2023S002254    ",10,"Sant Martí",70,"el Besòs i el Maresme",701449,"Josep Narcís Roca","0013X0013X","Dimecres","2023",4,"Abril","19","20","Tarda","Desobeir semàfor","435012.77 ","4585164.65","2.221273049","41.413559163"
"2023S003591    ",10,"Sant Martí",65,"el Clot",126508,"Flandes","0007 0007","Divendres","2023",6,"Juny","16","17","Tarda","No cedir la dreta","432334.08 ","4584619.52","2.189285293","41.408428135"
"2023S006477    ",10,"Sant Martí",70,"el Besòs i el Maresme",701266,"Litoral (Llobregat)","000530000","Dijous","2023",11,"Novembre","2","08","Matí","No respectar distàncies","435085.59 ","4584918.92","2.222170678","41.411351817"
"2023S004102    ",10,"Sant Martí",73,"la Verneda i la Pau",343200,"Trajana","0042 0042","Dijous","2023",7,"Juliol","6","15","Tarda","No respectar distàncies","433501.25 ","4586845.07","2.203003786","41.428570514"
"2023S002803    ",10,"Sant Martí",73,"la Verneda i la Pau",343200,"Trajana","0042 0042","Dijous","2023",5,"Maig","11","13","Matí","No respectar distàncies","433475.99 ","4586760.69","2.202710787","41.427808435"
"2023S004239    ",10,"Sant Martí",72,"Sant Martí de Provençals",169409,"Corts Catalanes","1043 1043","Dimecres","2023",7,"Juliol","12","09","Matí","Canvi de carril sense precaució","433447.08 ","4585424.05","2.202512008","41.4157673"
"2023S006028    ",10,"Sant Martí",72,"Sant Martí de Provençals",169409,"Corts Catalanes","1091 1091","Dimecres","2023",10,"Octubre","11","10","Matí","No respectar distàncies","433723.92 ","4585600.72","2.205804964","41.417381413"
"2023S000220    ",10,"Sant Martí",73,"la Verneda i la Pau",153205,"Guipúscoa","0137 0139","Dijous","2023",1,"Gener","12","21","Tarda","No respectar distàncies","433653.97 ","4586136.52","2.204909198","41.422201441"
"2023S005236    ",10,"Sant Martí",73,"la Verneda i la Pau",208205,"Menorca","0033 0033","Diumenge","2023",9,"Setembre","3","22","Nit","No cedir la dreta","433219.38 ","4586083.39","2.199714793","41.421686887"
"2023S006799    ",10,"Sant Martí",73,"la Verneda i la Pau",266405,"Prim","0223V0223V","Dijous","2023",11,"Novembre","16","07","Matí","Desobeir semàfor","433283.03 ","4586516.33","2.200428623","41.425591543"
"2023S007633    ",10,"Sant Martí",73,"la Verneda i la Pau",57802,"Camp Arriassa","0112X0112X","Dissabte","2023",12,"Desembre","23","12","Matí","Gir indegut o sense precaució","433324.28 ","4586567.71","2.200916574","41.426057735"
"2023S006769    ",10,"Sant Martí",71,"Provençals del Poblenou",322608,"Selva de Mar","0093 0093","Dimecres","2023",11,"Novembre","15","08","Matí","Manca d'atenció a la conducció","433729.37 ","4584896.59","2.205947351","41.411039949"
"2023S000551    ",10,"Sant Martí",73,"la Verneda i la Pau",270107,"Puigcerdà","0191 0197","Dissabte","2023",1,"Gener","28","16","Tarda","Manca d'atenció a la conducció","433751.6  ","4585648.82","2.206130886","41.41781692"
"2023S007111    ",10,"Sant Martí",71,"Provençals del Poblenou",94300,"Cristóbal de Moura","0021 0021","Dimecres","2023",11,"Novembre","29","17","Tarda","Gir indegut o sense precaució","433470.11 ","4584602.06","2.202877994","41.408365763"
"2023S007493    ",10,"Sant Martí",71,"Provençals del Poblenou",322608,"Selva de Mar","0113B0113B","Dilluns","2023",12,"Desembre","18","07","Matí","No cedir la dreta","433659.76 ","4584981.58","2.205105221","41.411799686"
"2023S000420    ",10,"Sant Martí",71,"Provençals del Poblenou",94300,"Cristóbal de Moura","0011X0011X","Dissabte","2023",1,"Gener","21","20","Tarda","Manca d'atenció a la conducció","433470.11 ","4584602.06","2.202877994","41.408365763"
"2023S000878    ",10,"Sant Martí",71,"Provençals del Poblenou",143609,"Josep Pla","0071 0071","Dilluns","2023",2,"Febrer","13","10","Matí","Manca d'atenció a la conducció","434227.24 ","4584976.01","2.211895185","41.411796186"
"2023S000296    ",10,"Sant Martí",70,"el Besòs i el Maresme",195409,"Maresme","0130 0130","Dilluns","2023",1,"Gener","16","15","Tarda","Desobeir altres senyals","434134.78 ","4585450.25","2.210737328","41.41605997"
"2023S004494    ",10,"Sant Martí",68,"el Poblenou",700662,"Salvador Espriu","0097 0097","Dilluns","2023",7,"Juliol","24","08","Matí","Canvi de carril sense precaució","433406.97 ","4582829.32","2.202317738","41.392393906"
"2023S004373    ",10,"Sant Martí",68,"el Poblenou",55501,"Calvell","0019 0021","Dimecres","2023",7,"Juliol","19","18","Tarda","Desconegut","433738.98 ","4583370.22","2.206229516","41.397293104"
"2023S003705    ",10,"Sant Martí",68,"el Poblenou",55501,"Calvell","0035 0035","Dimecres","2023",6,"Juny","21","00","Nit","Avançament defectuós/improcedent","433841.91 ","4583498.75","2.207446649","41.398459224"
"2023S006884    ",10,"Sant Martí",68,"el Poblenou",270901,"Pujades","0135 0135","Dilluns","2023",11,"Novembre","20","13","Matí","Manca d'atenció a la conducció","433080.25 ","4583662.49","2.198317886","41.399870923"
"2023S002173    ",10,"Sant Martí",68,"el Poblenou",700654,"Litoral","0051 0051","Diumenge","2023",4,"Abril","16","13","Matí","Manca d'atenció a la conducció","433600.12 ","4582986.31","2.204610681","41.393823857"
"2023S006547    ",10,"Sant Martí",68,"el Poblenou",701265,"Litoral (Besòs)","000760000","Diumenge","2023",11,"Novembre","5","06","Matí","Manca d'atenció a la conducció","433600.12 ","4582986.31","2.204610681","41.393823857"
"2023S005810    ",10,"Sant Martí",68,"el Poblenou",701265,"Litoral (Besòs)","000780000","Dilluns","2023",10,"Octubre","2","14","Tarda","No respectar distàncies","433545.58 ","4582976.4 ","2.203959431","41.393730092"
"2023S007094    ",10,"Sant Martí",68,"el Poblenou",242906,"Pallars","0146 0146","Dimecres","2023",11,"Novembre","29","14","Tarda","Manca d'atenció a la conducció","432784.91 ","4583579.09","2.194794346","41.399095112"
"2023S004809    ",10,"Sant Martí",68,"el Poblenou",701266,"Litoral (Llobregat)","000760000","Dimarts","2023",8,"Agost","8","22","Nit","Manca precaució efectuar marxa enrera","433777.75 ","4583199.54","2.206711936","41.395759025"
"2023S006819    ",10,"Sant Martí",68,"el Poblenou",701266,"Litoral (Llobregat)","000760000","Divendres","2023",11,"Novembre","17","08","Matí","Avançament defectuós/improcedent","433042.41 ","4582486.79","2.197995321","41.389278535"
"2023S001211    ",10,"Sant Martí",68,"el Poblenou",701266,"Litoral (Llobregat)","000770000","Dimecres","2023",3,"Març","1","15","Tarda","No respectar distàncies","433545.58 ","4582976.4 ","2.203959431","41.393730092"
"2023S006798    ",10,"Sant Martí",68,"el Poblenou",270901,"Pujades","0154 0154","Dijous","2023",11,"Novembre","16","09","Matí","Gir indegut o sense precaució","433080.25 ","4583662.49","2.198317886","41.399870923"
"2023S004711    ",10,"Sant Martí",68,"el Poblenou",700755,"Poblenou","0008X0008X","Dijous","2023",8,"Agost","3","16","Tarda","Manca d'atenció a la conducció","433573.77 ","4583177.95","2.204274482","41.395547736"
"2023S000738    ",10,"Sant Martí",68,"el Poblenou",700654,"Litoral","0064 0068","Dilluns","2023",2,"Febrer","6","16","Tarda","No respectar distàncies","433600.12 ","4582986.31","2.204610681","41.393823857"
"2023S002642    ",10,"Sant Martí",68,"el Poblenou",701266,"Litoral (Llobregat)","000790000","Dijous","2023",5,"Maig","4","19","Tarda","Altres","433443.3  ","4582903.44","2.202744112","41.393064496"
"2023S007490    ",10,"Sant Martí",70,"el Besòs i el Maresme",701414,"C-31","020860000","Diumenge","2023",12,"Desembre","17","20","Tarda","No respectar distàncies","434149.26 ","4586017.13","2.210848824","41.421166899"
"2023S003081    ",10,"Sant Martí",71,"Provençals del Poblenou",30409,"Bac de Roda","0158 0160","Dimecres","2023",5,"Maig","24","17","Tarda","Desobeir altres senyals","433186.49 ","4584891.95","2.19945291","41.410953186"
"2023S003244    ",10,"Sant Martí",71,"Provençals del Poblenou",42306,"Bilbao","0170 0174","Dimecres","2023",5,"Maig","31","08","Matí","Gir indegut o sense precaució","432857.16 ","4584704.93","2.195533618","41.409241289"
"2023S001840    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020750000","Divendres","2023",3,"Març","31","10","Matí","Altres","433372.35 ","4585277.86","2.201633992","41.41444441"
"2023S000799    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020750000","Dijous","2023",2,"Febrer","9","21","Tarda","Desobeir semàfor","433372.35 ","4585277.86","2.201633992","41.41444441"
"2023S000161    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020750000","Dimarts","2023",1,"Gener","10","13","Matí","Desobeir altres senyals","433372.35 ","4585277.86","2.201633992","41.41444441"
"2023S000428    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020750000","Diumenge","2023",1,"Gener","22","15","Tarda","Desobeir altres senyals","433372.35 ","4585277.86","2.201633992","41.41444441"
"2023S001812    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020830000","Dimecres","2023",3,"Març","29","23","Nit","Manca d'atenció a la conducció","433942.83 ","4585841.27","2.20839795","41.419566019"
"2023S000697    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020710000","Dissabte","2023",2,"Febrer","4","13","Matí","Manca d'atenció a la conducció","433145.52 ","4584957.57","2.198955496","41.411540798"
"2023S000641    ",10,"Sant Martí",71,"Provençals del Poblenou",253902,"Perú","0246 0248","Dijous","2023",2,"Febrer","2","13","Matí","Avançament defectuós/improcedent","433645.48 ","4585322.81","2.204896928","41.414871874"
"2023S003696    ",10,"Sant Martí",68,"el Poblenou",30500,"Badajoz","0053 0053","Dimarts","2023",6,"Juny","20","14","Tarda","No determinada","432982.32 ","4583377.09","2.197178073","41.397292238"
"2023S003180    ",10,"Sant Martí",71,"Provençals del Poblenou",42306,"Bilbao","0181 0185","Diumenge","2023",5,"Maig","28","14","Tarda","Manca d'atenció a la conducció","432901.43 ","4584611.26","2.196073636","41.408401328"
"2023S002592    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020760000","Dimecres","2023",5,"Maig","3","08","Matí","Avançament defectuós/improcedent","433366.47 ","4585249.15","2.201566805","41.414185339"
"2023S006434    ",10,"Sant Martí",68,"el Poblenou",29206,"Àvila","0076 0076","Dilluns","2023",10,"Octubre","30","18","Tarda","No determinada","432792.8  ","4583380.53","2.194910777","41.397307394"
"2023S006660    ",10,"Sant Martí",71,"Provençals del Poblenou",701414,"C-31","020800000","Dijous","2023",11,"Novembre","9","19","Tarda","No respectar distàncies","433723.92 ","4585600.72","2.205804964","41.417381413"
"2023S007305    ",10,"Sant Martí",71,"Provençals del Poblenou",169409,"Corts Catalanes","1024 1026","Diumenge","2023",12,"Desembre","10","00","Nit","Canvi de carril sense precaució","433261    ","4585099.01","2.200321485","41.412824313"
"2023S001314    ",10,"Sant Martí",71,"Provençals del Poblenou",143609,"Josep Pla","0181 0181","Dilluns","2023",3,"Març","6","16","Tarda","Manca d'atenció a la conducció","433698.21 ","4585495.05","2.205508932","41.416427549"
"2023S007386    ",10,"Sant Martí",71,"Provençals del Poblenou",30409,"Bac de Roda","0125 0125","Dimecres","2023",12,"Desembre","13","13","Matí","Desobeir semàfor","433375.14 ","4584699.57","2.201731089","41.409236139"
"2023S006996    ",10,"Sant Martí",68,"el Poblenou",115603,"Espronceda","0119 0119","Dissabte","2023",11,"Novembre","25","02","Nit","No respectat pas de vianants","433559.11 ","4584317.78","2.203973965","41.405812692"
"2023S003091    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",30409,"Bac de Roda","0098X0098X","Dijous","2023",5,"Maig","25","13","Matí","Gir indegut o sense precaució","433559.9  ","4584512.34","2.203962044","41.40756511"
"2023S006267    ",10,"Sant Martí",68,"el Poblenou",270901,"Pujades","0226B0226B","Dimarts","2023",10,"Octubre","24","13","Matí","Desobeir semàfor","433463.9  ","4584041.83","2.202865326","41.403319401"
"2023S002098    ",10,"Sant Martí",68,"el Poblenou",30409,"Bac de Roda","0099 0099","Dijous","2023",4,"Abril","13","08","Matí","Gir indegut o sense precaució","433607.3  ","4584461.61","2.204534671","41.407112116"
"2023S000780    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",144601,"Diagonal","0045X0045X","Dimecres","2023",2,"Febrer","8","16","Tarda","Manca d'atenció a la conducció","434276.76 ","4584807.99","2.212505906","41.410286925"
"2023S000321    ",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",30409,"Bac de Roda","0064 0064","Dimarts","2023",1,"Gener","17","14","Tarda","Gir indegut o sense precaució","433744.76 ","4584320.11","2.206194629","41.405849009"
"2023S003995    ",10,"Sant Martí",68,"el Poblenou",249304,"Pere IV","0161 0161","Diumenge","2023",7,"Juliol","2","17","Tarda","Avançament defectuós/improcedent","433046.08 ","4584029.43","2.197868543","41.40317301"
"2023S006920    ",10,"Sant Martí",68,"el Poblenou",332000,"Taulat","0083 0083","Dimarts","2023",11,"Novembre","21","16","Tarda","Desobeir semàfor","433601.31 ","4583509.54","2.204567506","41.398536563"
"2023S004040    ",10,"Sant Martí",68,"el Poblenou",346800,"Poblenou","0046 0046","Dilluns","2023",7,"Juliol","3","06","Matí","Desconegut","433450.48 ","4583683.31","2.202744227","41.40008919"
"2023S007519    ",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",270901,"Pujades","0027 0027","Dimarts","2023",12,"Desembre","19","07","Matí","Altres","432405.38 ","4583010.31","2.190318066","41.39394043"
"2023S004417    ",10,"Sant Martí",68,"el Poblenou",174908,"Joncar","0001 0001","Divendres","2023",7,"Juliol","21","14","Tarda","Manca d'atenció a la conducció","433473.08 ","4583682.85","2.203014616","41.400086919"
